,sub_region_2,year_month,Retail/Recreation,Grocery/Pharmacy,Transit Stations,Workplaces,Residential,metro_label,date,PC1,PC2,year_month_dt
0,Albemarle County,2020-02,4.133333333333334,-0.4666666666666667,5.133333333333334,1.4,-0.4,1,2020-02-22 00:00:00.000000000,2.705940307256796,-1.0583501446907955,2020-02-01
1,Albemarle County,2020-03,-18.161290322580644,-1.935483870967742,-20.032258064516128,-26.838709677419356,10.5,1,2020-03-16 00:00:00.000000000,-0.6769612592129022,0.3123106249313135,2020-03-01
2,Albemarle County,2020-04,-46.3,-20.833333333333332,-56.0,-54.63333333333333,22.833333333333332,1,2020-04-15 12:00:00.000000000,-5.1632171846248776,1.2566390025735519,2020-04-01
3,Albemarle County,2020-05,-36.774193548387096,-12.290322580645162,-44.25806451612903,-47.83870967741935,18.919354838709676,1,2020-05-16 00:00:00.000000000,-3.7065140783951334,1.0588395831476027,2020-05-01
4,Albemarle County,2020-06,-24.833333333333332,-8.0,-30.333333333333332,-41.766666666666666,13.233333333333333,1,2020-06-15 12:00:00.000000000,-2.1597312892140352,0.6418192500837566,2020-06-01
5,Albemarle County,2020-07,-20.838709677419356,-8.580645161290322,-27.870967741935484,-41.96774193548387,11.85483870967742,1,2020-07-16 00:00:00.000000000,-1.8917528118127132,0.5102636845981615,2020-07-01
6,Albemarle County,2020-08,-22.0,-13.779156327543424,-13.228287841191067,-42.58064516129032,10.693548387096774,1,2020-08-16 00:00:00.000000000,-1.8622264888526756,0.6897835254185481,2020-08-01
7,Albemarle County,2020-09,-21.533333333333335,-12.844871794871796,-14.847435897435897,-43.733333333333334,10.166666666666666,1,2020-09-15 12:00:00.000000000,-1.8283730676895298,0.6386437183282514,2020-09-01
8,Albemarle County,2020-10,-20.096774193548388,-8.870967741935484,-6.258064516129032,-37.483870967741936,9.516129032258064,1,2020-10-16 00:00:00.000000000,-1.196003696318601,0.7040802457849927,2020-10-01
9,Albemarle County,2020-11,-24.1,-11.033333333333333,-19.766666666666666,-37.96666666666667,11.566666666666666,1,2020-11-15 12:00:00.000000000,-1.7958061340221576,0.5823403729668375,2020-11-01
10,Albemarle County,2020-12,-25.838709677419356,-8.64516129032258,-9.161290322580646,-41.483870967741936,13.935483870967742,1,2020-12-16 00:00:00.000000000,-2.0202097772238665,1.2375796399863888,2020-12-01
11,Albemarle County,2021-01,-32.74193548387097,-20.0,-27.677419354838708,-39.96774193548387,14.516129032258064,1,2021-01-16 00:00:00.000000000,-2.8928039862514785,0.6467637868904944,2021-01-01
12,Albemarle County,2021-02,-32.32142857142857,-18.964285714285715,-29.678571428571427,-39.5,15.321428571428571,1,2021-02-14 12:00:00.000000000,-2.9231142452350762,0.6791222634986763,2021-02-01
13,Albemarle County,2021-03,-21.451612903225808,-10.32258064516129,-14.35483870967742,-34.774193548387096,10.35483870967742,1,2021-03-16 00:00:00.000000000,-1.3597485274010173,0.503701745735471,2021-03-01
14,Albemarle County,2021-04,-18.1,-5.366666666666666,-0.4,-34.3,8.666666666666666,1,2021-04-15 12:00:00.000000000,-0.7071037967867647,0.7383003384969626,2021-04-01
15,Albemarle County,2021-05,-18.387096774193548,-0.7096774193548387,4.290322580645161,-33.32258064516129,7.064516129032258,1,2021-05-16 00:00:00.000000000,-0.2852066626064302,0.7769118088504631,2021-05-01
16,Albemarle County,2021-06,-16.866666666666667,1.0,-1.1,-33.8,6.166666666666667,1,2021-06-15 12:00:00.000000000,-0.1668954178991612,0.5803080155965926,2021-06-01
17,Albemarle County,2021-07,-17.06451612903226,1.6129032258064515,0.8064516129032258,-34.225806451612904,5.580645161290323,1,2021-07-16 00:00:00.000000000,-0.08799287779482463,0.5969314108626416,2021-07-01
18,Albemarle County,2021-08,-15.0,4.032258064516129,-3.5483870967741935,-33.354838709677416,5.741935483870968,1,2021-08-16 00:00:00.000000000,0.041018992602475345,0.5043942982566321,2021-08-01
19,Albemarle County,2021-09,-15.3,2.1666666666666665,-2.2333333333333334,-30.6,5.866666666666666,1,2021-09-15 12:00:00.000000000,0.08216561433357328,0.44861590021915876,2021-09-01
20,Albemarle County,2021-10,-12.612903225806452,3.5483870967741935,-3.161290322580645,-24.35483870967742,4.870967741935484,1,2021-10-16 00:00:00.000000000,0.5779983978311182,0.17051326261392408,2021-10-01
21,Albemarle County,2021-11,-14.366666666666667,4.166666666666667,-11.466666666666667,-28.266666666666666,6.7,1,2021-11-15 12:00:00.000000000,0.09547162220469574,0.26920089285896887,2021-11-01
22,Albemarle County,2021-12,-16.06451612903226,5.32258064516129,-18.29032258064516,-34.0,8.225806451612904,1,2021-12-16 00:00:00.000000000,-0.39523278424525937,0.43016407969810244,2021-12-01
23,Albemarle County,2022-01,-31.451612903225808,-6.838709677419355,-36.03225806451613,-36.25806451612903,11.387096774193548,1,2022-01-16 00:00:00.000000000,-1.9873238091106369,0.2960487047123032,2022-01-01
24,Albemarle County,2022-02,-20.071428571428573,-1.6428571428571428,-28.357142857142858,-22.642857142857142,7.214285714285714,1,2022-02-14 12:00:00.000000000,-0.32636701041501665,-0.287808542262474,2022-02-01
25,Albemarle County,2022-03,-19.516129032258064,-4.451612903225806,-20.032258064516128,-21.419354838709676,6.064516129032258,1,2022-03-16 00:00:00.000000000,-0.14804512178822254,-0.2843210555092135,2022-03-01
26,Albemarle County,2022-04,-16.9,0.3,-22.2,-21.7,4.066666666666666,1,2022-04-15 12:00:00.000000000,0.2768754799141978,-0.4630768356545195,2022-04-01
27,Albemarle County,2022-05,-17.161290322580644,4.354838709677419,-13.03225806451613,-25.741935483870968,4.612903225806452,1,2022-05-16 00:00:00.000000000,0.30428094814603596,0.006170449071577839,2022-05-01
28,Albemarle County,2022-06,-18.566666666666666,4.4,-13.433333333333334,-30.766666666666666,4.766666666666667,1,2022-06-15 12:00:00.000000000,0.024114616242428322,0.1518754961137567,2022-06-01
29,Albemarle County,2022-07,-20.322580645161292,1.1290322580645162,-15.225806451612904,-33.903225806451616,5.612903225806452,1,2022-07-16 00:00:00.000000000,-0.39677753466153254,0.22045524733600677,2022-07-01
30,Albemarle County,2022-08,-16.741935483870968,7.354838709677419,-18.032258064516128,-30.483870967741936,6.0,1,2022-08-16 00:00:00.000000000,0.031609017539938174,0.18588945994693562,2022-08-01
31,Albemarle County,2022-09,-15.933333333333334,6.733333333333333,-16.1,-26.033333333333335,3.9,1,2022-09-15 12:00:00.000000000,0.4556977536678733,-0.1006898956451942,2022-09-01
32,Albemarle County,2022-10,-16.733333333333334,5.4,-15.666666666666666,-22.133333333333333,3.6666666666666665,1,2022-10-08 00:00:00.000000000,0.5739309799450188,-0.2237084944387616,2022-10-01
33,Alexandria,2020-02,1.3333333333333333,1.3333333333333333,-2.8,-0.4,0.2,1,2020-02-22 00:00:00.000000000,2.4490000970135264,-1.0828108315069496,2020-02-01
34,Alexandria,2020-03,-20.129032258064516,6.225806451612903,-31.29032258064516,-25.64516129032258,12.419354838709678,1,2020-03-16 00:00:00.000000000,-0.7082632850485354,0.38009945039534476,2020-03-01
35,Alexandria,2020-04,-52.333333333333336,-19.866666666666667,-65.7,-60.833333333333336,27.5,1,2020-04-15 12:00:00.000000000,-6.169410945889129,1.7149368710869657,2020-04-01
36,Alexandria,2020-05,-42.774193548387096,-16.129032258064516,-61.67741935483871,-53.12903225806452,23.29032258064516,1,2020-05-16 00:00:00.000000000,-4.917334381585728,1.1720737500038503,2020-05-01
37,Alexandria,2020-06,-29.466666666666665,-11.266666666666667,-53.86666666666667,-45.166666666666664,18.3,1,2020-06-15 12:00:00.000000000,-3.3645349858848634,0.616566812404957,2020-06-01
38,Alexandria,2020-07,-26.322580645161292,-12.225806451612904,-57.38709677419355,-45.61290322580645,16.387096774193548,1,2020-07-16 00:00:00.000000000,-3.168895140689247,0.29131254473029833,2020-07-01
39,Alexandria,2020-08,-25.483870967741936,-12.870967741935484,-55.54838709677419,-43.483870967741936,14.870967741935484,1,2020-08-16 00:00:00.000000000,-2.9026983237666504,0.11442143695246927,2020-08-01
40,Alexandria,2020-09,-23.1,-11.4,-49.666666666666664,-45.25,14.5,1,2020-09-15 12:00:00.000000000,-2.7362364188440784,0.26847388234100983,2020-09-01
41,Alexandria,2020-10,-25.612903225806452,-11.193548387096774,-46.67741935483871,-40.935483870967744,14.419354838709678,1,2020-10-16 00:00:00.000000000,-2.5836481596537917,0.26903409686173596,2020-10-01
42,Alexandria,2020-11,-30.8,-12.366666666666667,-49.833333333333336,-43.06666666666667,15.966666666666667,1,2020-11-15 12:00:00.000000000,-3.0822260734920683,0.4354159686267078,2020-11-01
43,Alexandria,2020-12,-32.67741935483871,-13.129032258064516,-55.25806451612903,-46.03225806451613,17.580645161290324,1,2020-12-16 00:00:00.000000000,-3.524595330780999,0.5361807117944033,2020-12-01
