retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,metro_label,date,sub_region_2
-46.0,-20.0,-63.0,-41.0,20.0,1,2020-05-03,Albemarle County
-37.0,-16.0,-53.0,-56.0,19.0,1,2020-05-04,Albemarle County
-37.0,-12.0,-54.0,-57.0,22.0,1,2020-05-05,Albemarle County
-38.0,-12.0,-52.0,-57.0,21.0,1,2020-05-06,Albemarle County
-37.0,-8.0,-49.0,-55.0,20.0,1,2020-05-07,Albemarle County
-39.0,-14.0,-49.0,-54.0,23.0,1,2020-05-08,Albemarle County
-39.0,2.0,-48.0,-34.0,22.0,1,2020-05-09,Albemarle County
-39.0,-13.0,-53.0,-38.0,21.0,1,2020-05-10,Albemarle County
-39.0,-16.0,-54.0,-56.0,20.0,1,2020-05-11,Albemarle County
-37.0,-7.0,-49.0,-54.0,19.0,1,2020-05-12,Albemarle County
-36.0,-12.0,-50.0,-55.0,20.0,1,2020-05-13,Albemarle County
-37.0,-6.0,-54.0,-55.0,20.0,1,2020-05-14,Albemarle County
-37.0,-14.0,-52.0,-54.0,20.0,1,2020-05-15,Albemarle County
-40.0,-10.0,-41.0,-35.0,20.0,1,2020-05-16,Albemarle County
-43.0,-22.0,-61.0,-39.0,20.0,1,2020-05-17,Albemarle County
-33.0,-13.0,-47.0,-54.0,20.0,1,2020-05-18,Albemarle County
-34.0,-9.0,-41.0,-54.0,21.0,1,2020-05-19,Albemarle County
-35.0,-14.0,-43.0,-54.0,21.0,1,2020-05-20,Albemarle County
-36.0,-10.0,-42.0,-55.0,21.0,1,2020-05-21,Albemarle County
-33.0,-12.0,-36.0,-52.0,21.0,1,2020-05-22,Albemarle County
-35.0,-6.0,-17.0,-25.0,7.0,1,2020-05-23,Albemarle County
-37.0,-21.0,-37.0,-33.0,14.0,1,2020-05-24,Albemarle County
-41.0,-19.0,-42.0,-75.0,21.0,1,2020-05-25,Albemarle County
-31.0,-11.0,-38.0,-50.0,17.0,1,2020-05-26,Albemarle County
-32.0,-13.0,-41.0,-51.0,18.0,1,2020-05-27,Albemarle County
-28.0,-4.0,-41.0,-51.0,18.0,1,2020-05-28,Albemarle County
-33.0,-12.0,-37.0,-49.0,19.0,1,2020-05-29,Albemarle County
