retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,metro_label,date,sub_region_2
-14.0,-9.0,-46.0,-49.0,13.0,1,2021-06-14,Alexandria
-12.0,-3.0,-45.0,-48.0,13.0,1,2021-06-15,Alexandria
-13.0,-4.0,-46.0,-47.0,12.0,1,2021-06-16,Alexandria
-12.0,-2.0,-39.0,-48.0,12.0,1,2021-06-17,Alexandria
-12.0,-4.0,-36.0,-49.0,11.0,1,2021-06-18,Alexandria
-25.0,-3.0,-21.0,-4.0,0.0,1,2021-06-19,Alexandria
-19.0,-17.0,-25.0,-2.0,0.0,1,2021-06-20,Alexandria
-19.0,-12.0,-49.0,-51.0,14.0,1,2021-06-21,Alexandria
-20.0,-8.0,-48.0,-50.0,15.0,1,2021-06-22,Alexandria
-14.0,-5.0,-45.0,-48.0,11.0,1,2021-06-23,Alexandria
-13.0,-6.0,-45.0,-49.0,12.0,1,2021-06-24,Alexandria
-17.0,-10.0,-37.0,-44.0,10.0,1,2021-06-25,Alexandria
-23.0,-6.0,-27.0,-4.0,0.0,1,2021-06-26,Alexandria
-18.0,-16.0,-29.0,-2.0,1.0,1,2021-06-27,Alexandria
-18.0,-13.0,-47.0,-51.0,11.0,1,2021-06-28,Alexandria
-16.0,-8.0,-48.0,-51.0,12.0,1,2021-06-29,Alexandria
-15.0,-7.0,-48.0,-48.0,12.0,1,2021-06-30,Alexandria
-18.0,-7.0,-48.0,-50.0,14.0,1,2021-07-01,Alexandria
-16.0,-5.0,-38.0,-46.0,10.0,1,2021-07-02,Alexandria
-23.0,-1.0,-20.0,-6.0,-1.0,1,2021-07-03,Alexandria
-27.0,-21.0,-6.0,-10.0,-3.0,1,2021-07-04,Alexandria
-12.0,-13.0,-60.0,-74.0,15.0,1,2021-07-05,Alexandria
-15.0,-5.0,-48.0,-51.0,13.0,1,2021-07-06,Alexandria
-18.0,-7.0,-45.0,-48.0,12.0,1,2021-07-07,Alexandria
-19.0,-9.0,-46.0,-49.0,14.0,1,2021-07-08,Alexandria
-19.0,-12.0,-36.0,-43.0,11.0,1,2021-07-09,Alexandria
-16.0,-3.0,-16.0,-4.0,-1.0,1,2021-07-10,Alexandria
-18.0,-15.0,-27.0,-1.0,2.0,1,2021-07-11,Alexandria
-15.0,-10.0,-46.0,-50.0,13.0,1,2021-07-12,Alexandria
-13.0,-6.0,-48.0,-49.0,12.0,1,2021-07-13,Alexandria
-15.0,-8.0,-44.0,-47.0,12.0,1,2021-07-14,Alexandria
-13.0,-3.0,-41.0,-47.0,12.0,1,2021-07-15,Alexandria
-15.0,-8.0,-33.0,-43.0,10.0,1,2021-07-16,Alexandria
-23.0,-2.0,-19.0,-6.0,0.0,1,2021-07-17,Alexandria
-14.0,-11.0,-17.0,-3.0,1.0,1,2021-07-18,Alexandria
-15.0,-7.0,-44.0,-50.0,12.0,1,2021-07-19,Alexandria
-13.0,-4.0,-42.0,-49.0,12.0,1,2021-07-20,Alexandria
-15.0,-6.0,-41.0,-47.0,12.0,1,2021-07-21,Alexandria
-12.0,-4.0,-40.0,-48.0,11.0,1,2021-07-22,Alexandria
-18.0,-10.0,-35.0,-43.0,10.0,1,2021-07-23,Alexandria
-24.0,-4.0,-19.0,-6.0,0.0,1,2021-07-24,Alexandria
-18.0,-13.0,-22.0,-3.0,1.0,1,2021-07-25,Alexandria
-16.0,-12.0,-44.0,-49.0,12.0,1,2021-07-26,Alexandria
-14.0,-4.0,-42.0,-48.0,13.0,1,2021-07-27,Alexandria
-14.0,-6.0,-44.0,-47.0,12.0,1,2021-07-28,Alexandria
-15.0,-5.0,-41.0,-48.0,13.0,1,2021-07-29,Alexandria
-16.0,-8.0,-32.0,-42.0,10.0,1,2021-07-30,Alexandria
-19.0,-1.0,-11.0,-4.0,-1.0,1,2021-07-31,Alexandria
-21.0,-15.0,-22.0,-4.0,3.0,1,2021-08-01,Alexandria
-13.0,-7.0,-42.0,-49.0,11.0,1,2021-08-02,Alexandria
-11.0,-2.0,-46.0,-48.0,12.0,1,2021-08-03,Alexandria
-13.0,-4.0,-43.0,-47.0,12.0,1,2021-08-04,Alexandria
-13.0,-1.0,-40.0,-48.0,12.0,1,2021-08-05,Alexandria
-18.0,-11.0,-32.0,-44.0,10.0,1,2021-08-06,Alexandria
-30.0,-7.0,-24.0,-7.0,1.0,1,2021-08-07,Alexandria
-18.0,-13.0,-14.0,-3.0,0.0,1,2021-08-08,Alexandria
-14.0,-9.0,-44.0,-50.0,12.0,1,2021-08-09,Alexandria
-18.0,-10.0,-47.0,-49.0,14.0,1,2021-08-10,Alexandria
-19.0,-9.0,-46.0,-48.0,13.0,1,2021-08-11,Alexandria
-17.0,-5.0,-42.0,-49.0,13.0,1,2021-08-12,Alexandria
-22.0,-15.0,-36.0,-44.0,12.0,1,2021-08-13,Alexandria
-23.0,1.0,-17.0,-5.0,0.0,1,2021-08-14,Alexandria
-16.0,-13.0,-17.0,-4.0,1.0,1,2021-08-15,Alexandria
-20.0,-12.0,-45.0,-51.0,13.0,1,2021-08-16,Alexandria
-12.0,-3.0,-43.0,-50.0,13.0,1,2021-08-17,Alexandria
-17.0,-7.0,-46.0,-47.0,13.0,1,2021-08-18,Alexandria
-17.0,-7.0,-42.0,-48.0,12.0,1,2021-08-19,Alexandria
-20.0,-14.0,-39.0,-45.0,12.0,1,2021-08-20,Alexandria
-24.0,-4.0,-18.0,-5.0,0.0,1,2021-08-21,Alexandria
-21.0,-14.0,-21.0,-3.0,1.0,1,2021-08-22,Alexandria
-15.0,-9.0,-41.0,-49.0,12.0,1,2021-08-23,Alexandria
-13.0,-4.0,-41.0,-48.0,12.0,1,2021-08-24,Alexandria
-16.0,-4.0,-42.0,-47.0,11.0,1,2021-08-25,Alexandria
-19.0,-7.0,-39.0,-48.0,12.0,1,2021-08-26,Alexandria
-21.0,-13.0,-34.0,-43.0,11.0,1,2021-08-27,Alexandria
-22.0,-2.0,-25.0,-3.0,1.0,1,2021-08-28,Alexandria
-18.0,-12.0,-29.0,-2.0,3.0,1,2021-08-29,Alexandria
-18.0,-10.0,-44.0,-49.0,12.0,1,2021-08-30,Alexandria
-12.0,-3.0,-43.0,-47.0,11.0,1,2021-08-31,Alexandria
-24.0,-14.0,-48.0,-48.0,16.0,1,2021-09-01,Alexandria
-11.0,-4.0,-37.0,-47.0,10.0,1,2021-09-02,Alexandria
-13.0,-8.0,-31.0,-45.0,10.0,1,2021-09-03,Alexandria
-23.0,-4.0,-11.0,-5.0,0.0,1,2021-09-04,Alexandria
-18.0,-19.0,-20.0,-5.0,1.0,1,2021-09-05,Alexandria
-12.0,-10.0,-57.0,-76.0,17.0,1,2021-09-06,Alexandria
-15.0,-2.0,-37.0,-48.0,12.0,1,2021-09-07,Alexandria
-17.0,-7.0,-40.0,-44.0,11.0,1,2021-09-08,Alexandria
-19.0,-6.0,-39.0,-45.0,12.0,1,2021-09-09,Alexandria
-18.0,-9.0,-28.0,-38.0,9.0,1,2021-09-10,Alexandria
-23.0,-4.0,-17.0,-4.0,0.0,1,2021-09-11,Alexandria
-21.0,-14.0,-14.0,-2.0,2.0,1,2021-09-12,Alexandria
-17.0,-12.0,-37.0,-45.0,11.0,1,2021-09-13,Alexandria
-15.0,-6.0,-41.0,-46.0,12.0,1,2021-09-14,Alexandria
-15.0,-7.0,-38.0,-44.0,11.0,1,2021-09-15,Alexandria
-21.0,-11.0,-37.0,-46.0,13.0,1,2021-09-16,Alexandria
-17.0,-8.0,-30.0,-40.0,10.0,1,2021-09-17,Alexandria
-21.0,-2.0,-7.0,-5.0,0.0,1,2021-09-18,Alexandria
-18.0,-12.0,-9.0,-4.0,1.0,1,2021-09-19,Alexandria
-14.0,-10.0,-38.0,-45.0,11.0,1,2021-09-20,Alexandria
-15.0,-4.0,-39.0,-44.0,12.0,1,2021-09-21,Alexandria
-21.0,-11.0,-43.0,-41.0,13.0,1,2021-09-22,Alexandria
-18.0,-5.0,-39.0,-44.0,13.0,1,2021-09-23,Alexandria
-18.0,-10.0,-26.0,-36.0,8.0,1,2021-09-24,Alexandria
-22.0,-3.0,-11.0,-2.0,0.0,1,2021-09-25,Alexandria
-20.0,-11.0,-12.0,0.0,1.0,1,2021-09-26,Alexandria
-18.0,-7.0,-38.0,-43.0,11.0,1,2021-09-27,Alexandria
-17.0,-6.0,-37.0,-43.0,11.0,1,2021-09-28,Alexandria
-16.0,-4.0,-37.0,-41.0,10.0,1,2021-09-29,Alexandria
-13.0,-2.0,-32.0,-42.0,11.0,1,2021-09-30,Alexandria
-13.0,-4.0,-21.0,-37.0,8.0,1,2021-10-01,Alexandria
-15.0,6.0,7.0,-4.0,-1.0,1,2021-10-02,Alexandria
-17.0,-10.0,-1.0,-3.0,2.0,1,2021-10-03,Alexandria
-15.0,-6.0,-37.0,-43.0,11.0,1,2021-10-04,Alexandria
-16.0,-6.0,-38.0,-43.0,12.0,1,2021-10-05,Alexandria
-19.0,-7.0,-40.0,-41.0,12.0,1,2021-10-06,Alexandria
-16.0,-4.0,-34.0,-44.0,12.0,1,2021-10-07,Alexandria
-16.0,-7.0,-25.0,-38.0,9.0,1,2021-10-08,Alexandria
-23.0,-4.0,-7.0,-6.0,0.0,1,2021-10-09,Alexandria
-19.0,-14.0,-1.0,-3.0,2.0,1,2021-10-10,Alexandria
-9.0,-4.0,-48.0,-59.0,14.0,1,2021-10-11,Alexandria
-16.0,-4.0,-33.0,-42.0,11.0,1,2021-10-12,Alexandria
-15.0,-7.0,-32.0,-41.0,11.0,1,2021-10-13,Alexandria
-15.0,-5.0,-33.0,-42.0,11.0,1,2021-10-14,Alexandria
-15.0,-11.0,-26.0,-36.0,9.0,1,2021-10-15,Alexandria
-25.0,-5.0,-14.0,-6.0,1.0,1,2021-10-16,Alexandria
-19.0,-13.0,-12.0,-1.0,1.0,1,2021-10-17,Alexandria
-16.0,-9.0,-38.0,-43.0,11.0,1,2021-10-18,Alexandria
-14.0,-5.0,-36.0,-42.0,11.0,1,2021-10-19,Alexandria
-16.0,-6.0,-38.0,-40.0,11.0,1,2021-10-20,Alexandria
-15.0,-5.0,-31.0,-42.0,11.0,1,2021-10-21,Alexandria
-15.0,-8.0,-27.0,-36.0,9.0,1,2021-10-22,Alexandria
-21.0,-2.0,-13.0,-4.0,0.0,1,2021-10-23,Alexandria
-15.0,-12.0,-12.0,-5.0,2.0,1,2021-10-24,Alexandria
-19.0,-13.0,-39.0,-42.0,12.0,1,2021-10-25,Alexandria
-15.0,-3.0,-38.0,-41.0,12.0,1,2021-10-26,Alexandria
-16.0,-7.0,-38.0,-38.0,10.0,1,2021-10-27,Alexandria
-16.0,-5.0,-36.0,-40.0,11.0,1,2021-10-28,Alexandria
-27.0,-18.0,-40.0,-38.0,13.0,1,2021-10-29,Alexandria
-21.0,4.0,-19.0,-4.0,0.0,1,2021-10-30,Alexandria
-19.0,-11.0,-16.0,-4.0,3.0,1,2021-10-31,Alexandria
-17.0,-6.0,-36.0,-43.0,11.0,1,2021-11-01,Alexandria
-13.0,-7.0,-45.0,-46.0,14.0,1,2021-11-02,Alexandria
-18.0,-6.0,-41.0,-38.0,11.0,1,2021-11-03,Alexandria
-14.0,-4.0,-38.0,-40.0,12.0,1,2021-11-04,Alexandria
-16.0,-11.0,-26.0,-34.0,10.0,1,2021-11-05,Alexandria
-20.0,-3.0,-20.0,-4.0,1.0,1,2021-11-06,Alexandria
-17.0,-10.0,-19.0,-4.0,3.0,1,2021-11-07,Alexandria
-17.0,-10.0,-37.0,-41.0,11.0,1,2021-11-08,Alexandria
-15.0,-6.0,-37.0,-41.0,11.0,1,2021-11-09,Alexandria
-14.0,-5.0,-36.0,-38.0,10.0,1,2021-11-10,Alexandria
-7.0,-1.0,-42.0,-54.0,13.0,1,2021-11-11,Alexandria
-19.0,-11.0,-33.0,-39.0,12.0,1,2021-11-12,Alexandria
-22.0,-5.0,-19.0,-6.0,2.0,1,2021-11-13,Alexandria
-23.0,-17.0,-17.0,-4.0,2.0,1,2021-11-14,Alexandria
-20.0,-9.0,-39.0,-41.0,12.0,1,2021-11-15,Alexandria
-17.0,-6.0,-40.0,-41.0,12.0,1,2021-11-16,Alexandria
-16.0,-6.0,-38.0,-38.0,10.0,1,2021-11-17,Alexandria
-15.0,-4.0,-36.0,-39.0,11.0,1,2021-11-18,Alexandria
-20.0,-11.0,-31.0,-34.0,11.0,1,2021-11-19,Alexandria
-22.0,-1.0,-23.0,-5.0,2.0,1,2021-11-20,Alexandria
-21.0,-15.0,-21.0,-4.0,4.0,1,2021-11-21,Alexandria
-16.0,-5.0,-43.0,-45.0,12.0,1,2021-11-22,Alexandria
-11.0,5.0,-41.0,-46.0,11.0,1,2021-11-23,Alexandria
-5.0,22.0,-43.0,-53.0,10.0,1,2021-11-24,Alexandria
-64.0,-32.0,-72.0,-85.0,20.0,1,2021-11-25,Alexandria
-31.0,-30.0,-53.0,-66.0,17.0,1,2021-11-26,Alexandria
-34.0,-17.0,-22.0,-12.0,1.0,1,2021-11-27,Alexandria
-27.0,-23.0,-11.0,-8.0,2.0,1,2021-11-28,Alexandria
-21.0,-13.0,-41.0,-43.0,12.0,1,2021-11-29,Alexandria
-18.0,-6.0,-44.0,-41.0,12.0,1,2021-11-30,Alexandria
-20.0,-6.0,-42.0,-39.0,11.0,1,2021-12-01,Alexandria
-19.0,-6.0,-42.0,-40.0,12.0,1,2021-12-02,Alexandria
-20.0,-11.0,-33.0,-35.0,11.0,1,2021-12-03,Alexandria
-13.0,5.0,-10.0,-5.0,2.0,1,2021-12-04,Alexandria
-20.0,-13.0,-24.0,-3.0,4.0,1,2021-12-05,Alexandria
-18.0,-9.0,-41.0,-41.0,12.0,1,2021-12-06,Alexandria
-17.0,-6.0,-42.0,-40.0,12.0,1,2021-12-07,Alexandria
-18.0,-10.0,-47.0,-38.0,12.0,1,2021-12-08,Alexandria
-20.0,-8.0,-39.0,-38.0,12.0,1,2021-12-09,Alexandria
-19.0,-13.0,-33.0,-34.0,10.0,1,2021-12-10,Alexandria
-21.0,-2.0,-20.0,0.0,2.0,1,2021-12-11,Alexandria
-20.0,-16.0,-26.0,0.0,3.0,1,2021-12-12,Alexandria
-17.0,-9.0,-43.0,-39.0,11.0,1,2021-12-13,Alexandria
-11.0,-4.0,-41.0,-38.0,11.0,1,2021-12-14,Alexandria
-13.0,-6.0,-44.0,-37.0,10.0,1,2021-12-15,Alexandria
-9.0,-4.0,-40.0,-39.0,10.0,1,2021-12-16,Alexandria
-13.0,-9.0,-35.0,-35.0,10.0,1,2021-12-17,Alexandria
-17.0,-4.0,-21.0,1.0,1.0,1,2021-12-18,Alexandria
-17.0,-17.0,-27.0,0.0,3.0,1,2021-12-19,Alexandria
-8.0,-8.0,-48.0,-50.0,13.0,1,2021-12-20,Alexandria
-9.0,-1.0,-51.0,-51.0,13.0,1,2021-12-21,Alexandria
-9.0,2.0,-52.0,-51.0,12.0,1,2021-12-22,Alexandria
-8.0,14.0,-49.0,-58.0,13.0,1,2021-12-23,Alexandria
-32.0,3.0,-60.0,-71.0,18.0,1,2021-12-24,Alexandria
-77.0,-58.0,-65.0,-59.0,11.0,1,2021-12-25,Alexandria
-31.0,-27.0,-28.0,-12.0,3.0,1,2021-12-26,Alexandria
-21.0,-16.0,-56.0,-61.0,16.0,1,2021-12-27,Alexandria
-16.0,-7.0,-53.0,-59.0,16.0,1,2021-12-28,Alexandria
-19.0,-6.0,-55.0,-57.0,16.0,1,2021-12-29,Alexandria
-14.0,6.0,-52.0,-60.0,18.0,1,2021-12-30,Alexandria
-25.0,2.0,-57.0,-69.0,21.0,1,2021-12-31,Alexandria
-56.0,-40.0,-54.0,-38.0,12.0,1,2022-01-01,Alexandria
-31.0,-12.0,-29.0,-8.0,7.0,1,2022-01-02,Alexandria
-70.0,-52.0,-74.0,-79.0,35.0,1,2022-01-03,Alexandria
-40.0,-14.0,-64.0,-66.0,26.0,1,2022-01-04,Alexandria
-30.0,-1.0,-57.0,-55.0,21.0,1,2022-01-05,Alexandria
-26.0,13.0,-56.0,-52.0,20.0,1,2022-01-06,Alexandria
-43.0,-24.0,-61.0,-58.0,27.0,1,2022-01-07,Alexandria
-36.0,-6.0,-42.0,-9.0,9.0,1,2022-01-08,Alexandria
-43.0,-27.0,-47.0,-9.0,11.0,1,2022-01-09,Alexandria
-28.0,-13.0,-55.0,-47.0,17.0,1,2022-01-10,Alexandria
-29.0,-11.0,-56.0,-46.0,18.0,1,2022-01-11,Alexandria
-27.0,-9.0,-55.0,-44.0,16.0,1,2022-01-12,Alexandria
-27.0,-5.0,-51.0,-45.0,17.0,1,2022-01-13,Alexandria
-26.0,-6.0,-46.0,-39.0,15.0,1,2022-01-14,Alexandria
-31.0,4.0,-38.0,-7.0,6.0,1,2022-01-15,Alexandria
-54.0,-30.0,-54.0,-17.0,13.0,1,2022-01-16,Alexandria
-35.0,-29.0,-72.0,-71.0,25.0,1,2022-01-17,Alexandria
-30.0,-16.0,-53.0,-46.0,16.0,1,2022-01-18,Alexandria
-28.0,-10.0,-51.0,-44.0,14.0,1,2022-01-19,Alexandria
-37.0,-23.0,-59.0,-52.0,22.0,1,2022-01-20,Alexandria
-32.0,-20.0,-48.0,-39.0,16.0,1,2022-01-21,Alexandria
-33.0,-11.0,-40.0,-7.0,7.0,1,2022-01-22,Alexandria
-32.0,-22.0,-40.0,-7.0,7.0,1,2022-01-23,Alexandria
-27.0,-19.0,-50.0,-45.0,15.0,1,2022-01-24,Alexandria
-25.0,-12.0,-50.0,-44.0,15.0,1,2022-01-25,Alexandria
-27.0,-17.0,-53.0,-43.0,15.0,1,2022-01-26,Alexandria
-26.0,-12.0,-52.0,-43.0,15.0,1,2022-01-27,Alexandria
-35.0,-18.0,-50.0,-41.0,17.0,1,2022-01-28,Alexandria
-39.0,-22.0,-47.0,-10.0,9.0,1,2022-01-29,Alexandria
-34.0,-25.0,-43.0,-10.0,8.0,1,2022-01-30,Alexandria
-28.0,-20.0,-53.0,-44.0,14.0,1,2022-01-31,Alexandria
-24.0,-12.0,-50.0,-43.0,14.0,1,2022-02-01,Alexandria
-27.0,-14.0,-51.0,-44.0,14.0,1,2022-02-02,Alexandria
-30.0,-17.0,-54.0,-46.0,17.0,1,2022-02-03,Alexandria
-33.0,-22.0,-50.0,-37.0,16.0,1,2022-02-04,Alexandria
-28.0,-6.0,-39.0,-7.0,5.0,1,2022-02-05,Alexandria
-28.0,-19.0,-37.0,-7.0,6.0,1,2022-02-06,Alexandria
-28.0,-18.0,-50.0,-43.0,14.0,1,2022-02-07,Alexandria
-22.0,-12.0,-50.0,-42.0,13.0,1,2022-02-08,Alexandria
-21.0,-13.0,-48.0,-39.0,12.0,1,2022-02-09,Alexandria
-22.0,-12.0,-47.0,-42.0,13.0,1,2022-02-10,Alexandria
-21.0,-13.0,-40.0,-36.0,11.0,1,2022-02-11,Alexandria
-21.0,0.0,-24.0,-6.0,2.0,1,2022-02-12,Alexandria
-36.0,-20.0,-41.0,-6.0,6.0,1,2022-02-13,Alexandria
-16.0,-12.0,-51.0,-42.0,13.0,1,2022-02-14,Alexandria
-23.0,-15.0,-48.0,-42.0,13.0,1,2022-02-15,Alexandria
-22.0,-14.0,-45.0,-40.0,12.0,1,2022-02-16,Alexandria
-21.0,-14.0,-44.0,-40.0,13.0,1,2022-02-17,Alexandria
-24.0,-19.0,-40.0,-41.0,13.0,1,2022-02-18,Alexandria
-25.0,-12.0,-33.0,-3.0,3.0,1,2022-02-19,Alexandria
-19.0,-24.0,-37.0,-5.0,4.0,1,2022-02-20,Alexandria
-3.0,-8.0,-59.0,-62.0,14.0,1,2022-02-21,Alexandria
-23.0,-17.0,-49.0,-42.0,13.0,1,2022-02-22,Alexandria
-21.0,-14.0,-46.0,-40.0,11.0,1,2022-02-23,Alexandria
-28.0,-19.0,-51.0,-41.0,14.0,1,2022-02-24,Alexandria
-25.0,-20.0,-41.0,-35.0,11.0,1,2022-02-25,Alexandria
-26.0,-12.0,-30.0,-3.0,3.0,1,2022-02-26,Alexandria
-23.0,-19.0,-31.0,0.0,3.0,1,2022-02-27,Alexandria
-23.0,-20.0,-47.0,-42.0,12.0,1,2022-02-28,Alexandria
-20.0,-13.0,-47.0,-41.0,11.0,1,2022-03-01,Alexandria
-20.0,-14.0,-47.0,-39.0,10.0,1,2022-03-02,Alexandria
-22.0,-13.0,-46.0,-40.0,12.0,1,2022-03-03,Alexandria
-23.0,-17.0,-37.0,-35.0,11.0,1,2022-03-04,Alexandria
-19.0,-7.0,-25.0,-1.0,1.0,1,2022-03-05,Alexandria
-17.0,-17.0,-26.0,-3.0,2.0,1,2022-03-06,Alexandria
-25.0,-17.0,-46.0,-42.0,12.0,1,2022-03-07,Alexandria
-21.0,-12.0,-48.0,-40.0,11.0,1,2022-03-08,Alexandria
-30.0,-21.0,-53.0,-39.0,13.0,1,2022-03-09,Alexandria
-27.0,-15.0,-48.0,-40.0,11.0,1,2022-03-10,Alexandria
-21.0,-17.0,-39.0,-34.0,9.0,1,2022-03-11,Alexandria
-45.0,-29.0,-47.0,-12.0,9.0,1,2022-03-12,Alexandria
-25.0,-21.0,-26.0,-4.0,4.0,1,2022-03-13,Alexandria
-21.0,-17.0,-45.0,-41.0,10.0,1,2022-03-14,Alexandria
-19.0,-13.0,-40.0,-39.0,10.0,1,2022-03-15,Alexandria
-19.0,-12.0,-41.0,-37.0,9.0,1,2022-03-16,Alexandria
-24.0,-15.0,-46.0,-40.0,12.0,1,2022-03-17,Alexandria
-21.0,-15.0,-34.0,-34.0,8.0,1,2022-03-18,Alexandria
-20.0,-6.0,-19.0,-2.0,0.0,1,2022-03-19,Alexandria
-20.0,-16.0,-18.0,-2.0,2.0,1,2022-03-20,Alexandria
-21.0,-14.0,-44.0,-44.0,10.0,1,2022-03-21,Alexandria
-20.0,-13.0,-38.0,-38.0,9.0,1,2022-03-22,Alexandria
-27.0,-18.0,-46.0,-37.0,11.0,1,2022-03-23,Alexandria
-25.0,-15.0,-44.0,-38.0,12.0,1,2022-03-24,Alexandria
-21.0,-17.0,-30.0,-33.0,8.0,1,2022-03-25,Alexandria
-24.0,-11.0,-7.0,-4.0,0.0,1,2022-03-26,Alexandria
-22.0,-20.0,-22.0,-5.0,3.0,1,2022-03-27,Alexandria
-27.0,-20.0,-48.0,-39.0,11.0,1,2022-03-28,Alexandria
-24.0,-16.0,-45.0,-38.0,10.0,1,2022-03-29,Alexandria
-24.0,-15.0,-43.0,-36.0,9.0,1,2022-03-30,Alexandria
-23.0,-12.0,-44.0,-38.0,11.0,1,2022-03-31,Alexandria
-20.0,-13.0,-32.0,-34.0,9.0,1,2022-04-01,Alexandria
-22.0,-6.0,-18.0,-3.0,0.0,1,2022-04-02,Alexandria
-20.0,-16.0,-25.0,-3.0,2.0,1,2022-04-03,Alexandria
-21.0,-13.0,-43.0,-41.0,10.0,1,2022-04-04,Alexandria
-23.0,-18.0,-46.0,-40.0,12.0,1,2022-04-05,Alexandria
-22.0,-17.0,-45.0,-38.0,10.0,1,2022-04-06,Alexandria
-27.0,-18.0,-45.0,-40.0,12.0,1,2022-04-07,Alexandria
-21.0,-12.0,-32.0,-35.0,8.0,1,2022-04-08,Alexandria
-22.0,-5.0,-9.0,-3.0,0.0,1,2022-04-09,Alexandria
-22.0,-17.0,-16.0,-1.0,2.0,1,2022-04-10,Alexandria
-18.0,-12.0,-42.0,-45.0,10.0,1,2022-04-11,Alexandria
-15.0,-13.0,-39.0,-42.0,10.0,1,2022-04-12,Alexandria
-18.0,-11.0,-42.0,-41.0,9.0,1,2022-04-13,Alexandria
-19.0,-10.0,-41.0,-44.0,10.0,1,2022-04-14,Alexandria
-17.0,-12.0,-36.0,-42.0,9.0,1,2022-04-15,Alexandria
-25.0,-4.0,-19.0,-2.0,-1.0,1,2022-04-16,Alexandria
-32.0,-23.0,-25.0,-11.0,1.0,1,2022-04-17,Alexandria
-27.0,-23.0,-51.0,-47.0,13.0,1,2022-04-18,Alexandria
-19.0,-12.0,-42.0,-39.0,10.0,1,2022-04-19,Alexandria
-18.0,-13.0,-41.0,-36.0,8.0,1,2022-04-20,Alexandria
-20.0,-12.0,-39.0,-38.0,9.0,1,2022-04-21,Alexandria
-17.0,-14.0,-29.0,-33.0,7.0,1,2022-04-22,Alexandria
-19.0,-2.0,-15.0,-1.0,-2.0,1,2022-04-23,Alexandria
-14.0,-17.0,-16.0,-2.0,0.0,1,2022-04-24,Alexandria
-19.0,-14.0,-42.0,-39.0,9.0,1,2022-04-25,Alexandria
-22.0,-14.0,-41.0,-38.0,9.0,1,2022-04-26,Alexandria
-18.0,-9.0,-39.0,-35.0,7.0,1,2022-04-27,Alexandria
-20.0,-8.0,-40.0,-38.0,8.0,1,2022-04-28,Alexandria
-18.0,-12.0,-32.0,-33.0,7.0,1,2022-04-29,Alexandria
-21.0,-2.0,-20.0,-4.0,-1.0,1,2022-04-30,Alexandria
-23.0,-16.0,-20.0,-4.0,2.0,1,2022-05-01,Alexandria
-15.0,-11.0,-40.0,-42.0,8.0,1,2022-05-02,Alexandria
-16.0,-10.0,-38.0,-39.0,9.0,1,2022-05-03,Alexandria
-17.0,-11.0,-43.0,-36.0,8.0,1,2022-05-04,Alexandria
-12.0,-9.0,-40.0,-37.0,8.0,1,2022-05-05,Alexandria
-23.0,-20.0,-41.0,-36.0,10.0,1,2022-05-06,Alexandria
-26.0,-11.0,-31.0,-4.0,2.0,1,2022-05-07,Alexandria
-13.0,-13.0,-23.0,-5.0,1.0,1,2022-05-08,Alexandria
-17.0,-11.0,-39.0,-39.0,9.0,1,2022-05-09,Alexandria
-13.0,-10.0,-36.0,-37.0,7.0,1,2022-05-10,Alexandria
-17.0,-9.0,-36.0,-36.0,7.0,1,2022-05-11,Alexandria
-17.0,-8.0,-34.0,-38.0,8.0,1,2022-05-12,Alexandria
-20.0,-14.0,-26.0,-35.0,8.0,1,2022-05-13,Alexandria
-23.0,-4.0,-16.0,0.0,0.0,1,2022-05-14,Alexandria
-15.0,-13.0,-10.0,-4.0,1.0,1,2022-05-15,Alexandria
-22.0,-15.0,-42.0,-40.0,10.0,1,2022-05-16,Alexandria
-15.0,-7.0,-35.0,-38.0,7.0,1,2022-05-17,Alexandria
-17.0,-10.0,-37.0,-36.0,7.0,1,2022-05-18,Alexandria
-14.0,-6.0,-36.0,-38.0,8.0,1,2022-05-19,Alexandria
-18.0,-11.0,-31.0,-35.0,7.0,1,2022-05-20,Alexandria
-25.0,-5.0,-21.0,-2.0,-2.0,1,2022-05-21,Alexandria
-18.0,-14.0,-18.0,1.0,1.0,1,2022-05-22,Alexandria
-19.0,-11.0,-41.0,-41.0,9.0,1,2022-05-23,Alexandria
-22.0,-11.0,-39.0,-39.0,10.0,1,2022-05-24,Alexandria
-19.0,-9.0,-39.0,-38.0,8.0,1,2022-05-25,Alexandria
-19.0,-8.0,-38.0,-40.0,9.0,1,2022-05-26,Alexandria
-22.0,-13.0,-39.0,-41.0,11.0,1,2022-05-27,Alexandria
-25.0,-4.0,-20.0,-7.0,-2.0,1,2022-05-28,Alexandria
-16.0,-18.0,-8.0,-4.0,-2.0,1,2022-05-29,Alexandria
-18.0,-12.0,-59.0,-76.0,15.0,1,2022-05-30,Alexandria
-18.0,-8.0,-39.0,-40.0,8.0,1,2022-05-31,Alexandria
-18.0,-6.0,-36.0,-38.0,8.0,1,2022-06-01,Alexandria
-21.0,-12.0,-38.0,-40.0,10.0,1,2022-06-02,Alexandria
-16.0,-11.0,-31.0,-36.0,6.0,1,2022-06-03,Alexandria
-20.0,-1.0,-8.0,-1.0,-3.0,1,2022-06-04,Alexandria
